work,id,t,axis_t,axis_r,axis_m,axis_g,axis_q,priority,axis_t_source,axis_r_source,axis_m_source,axis_g_source,axis_q_source,priority_source
你往何处去.md,WL-WORK-0986,T4,T4 全球现代主义时代,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT7 历史叙事,△,existing,existing,existing,existing,existing,existing
佩伽纳诸神.md,WL-WORK-0585,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
佩利亚斯与梅丽桑德.md,WL-WORK-M2-3C2840501067,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮 / 象征主义,G3 小说,QH4 社会、阶级与劳动,◆,existing,t_default,existing,t_default,t_default,other_topic
佩尔西瓦尔.md,WL-WORK-1407,T1,T1 中古多中心文学世界,R4 欧洲文学,,G3 小说,QT9 神话、传说与民间叙事,△,existing,existing,not_applicable_pre_modern,existing,existing,existing
佩德罗·巴拉莫.md,WL-WORK-0987,T5,T5 二战后多极文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式 | M5.1 战后思想与美学范式,G3 小说,QH2.3 家庭与家族 | QH7 历史、记忆与时间,★,existing,existing,existing,existing,existing,existing
使命.md,WL-WORK-1587,T4,T4 全球现代主义时代,R4 欧洲文学,M3.1 现代主义 / Modernism,G1 诗歌,QH1 自我、存在与生命,△,existing,existing,existing,existing,t_default,existing
使女的故事.md,WL-WORK-0363,T6,T6 当代全球文学,R5 北美文学 | R5 北美文学,M4 政治、民族与文化运动 | M5 战后与当代美学范式,G3 小说,QT2 科幻 | QT6 乌托邦、反乌托邦与社会想象 | QH3.1 性别与身体 | QH5 权力、制度与秩序,★,existing,existing,existing,existing,existing,existing
侠客行.md,WL-WORK-2449,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.1 武侠,△,existing,existing,existing,existing,existing,existing
俄狄浦斯王.md,WL-WORK-1408,T0,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,G3 小说,QT9 神话、传说与民间叙事,★,existing,existing,not_applicable_pre_modern,existing,existing,existing
俄瑞斯忒亚.md,WL-WORK-2809,T0,T0 文学源头与古代文学,R4 欧洲文学,,G2 戏剧,QH8 信仰、伦理与超越,◆,existing,existing,not_applicable_pre_modern,existing,t_default,existing
俗世奇人.md,WL-WORK-2720,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH4 社会、阶级与劳动,△,existing,existing,t_default,existing,existing,existing
俗丽之夜.md,WL-WORK-0049,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
俘虏记.md,WL-WORK-1589,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,existing,existing
保罗·策兰诗选.md,WL-WORK-3154,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G1 诗歌,QH6 战争、暴力与创伤,◆,existing,existing,existing,existing,mechanism,existing
信号员.md,WL-WORK-0587,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
修桶人.md,WL-WORK-2993,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
倚天屠龙记.md,WL-WORK-2450,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.1 武侠,△,existing,existing,existing,existing,existing,existing
倾城之恋.md,WL-WORK-1590,T4,T4 全球现代主义时代,R2 东亚文学,M3.1 现代主义 / Modernism,G3 小说,QH2.1 爱情与欲望,△,existing,existing,existing,existing,existing,existing
假面的告白.md,WL-WORK-0990,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH2.5 童年与成长,△,existing,existing,existing,existing,existing,existing
偌大.md,WL-WORK-2963,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QH1 自我、存在与生命,△,existing,existing,existing,existing,t_default,existing
傲慢与偏见.md,WL-WORK-0992,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QH2.1 爱情与欲望 | QH2.3 家庭与家族 | QH4 社会、阶级与劳动,★,existing,existing,existing,existing,existing,existing
傻子出国记.md,WL-WORK-1410,T3,T3 19世纪现代文学体系,R5 北美文学,M2 19世纪文学思潮,G6 纪实与文学非虚构,QT14 旅行与游记,△,existing,existing,existing,existing,existing,existing
像少年啦飞驰.md,WL-WORK-2730,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH2.3 家庭与家族 | QH2.5 童年与成长,△,existing,existing,existing,existing,existing,existing
儒林外史.md,WL-WORK-2815,T2,T2 早期现代文学,R2 东亚文学,M1 早期现代思想与美学,G3 小说,QH5 权力、制度与秩序,◆,existing,existing,existing,existing,existing,existing
儿子与情人.md,WL-WORK-0993,T4,T4 全球现代主义时代,R4 欧洲文学,M3.1 现代主义 / Modernism,G3 小说,QH2.5 童年与成长,★,existing,existing,existing,existing,existing,existing
儿子们.md,WL-WORK-0994,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QH2.3 家庭与家族,△,existing,existing,existing,existing,existing,existing
儿子的大玩偶.md,WL-WORK-1591,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,topic_direct,existing
元年春之祭.md,WL-WORK-0249,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
元素周期表.md,WL-WORK-2739,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G5 生命书写 | G6 纪实与文学非虚构,QH6 战争、暴力与创伤 | QH7 历史、记忆与时间,△,existing,existing,existing,existing,existing,existing
兄弟.md,WL-WORK-2772,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH2.3 家庭与家族 | QH4 社会、阶级与劳动 | QH7 历史、记忆与时间,△,existing,existing,existing,existing,existing,existing
先知.md,WL-WORK-3193,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G4 散文与随笔,QH1 自我、存在与生命,◆,existing,existing,existing,existing,t_default,existing
先知之歌.md,WL-WORK-3080,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
光明王.md,WL-WORK-0347,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
克拉丽莎.md,WL-WORK-2020,T2,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G3 小说,QH2.1 爱情与欲望,△,existing,existing,existing,existing,existing,existing
克拉拉与太阳.md,WL-WORK-0432,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
克苏鲁的呼唤.md,WL-WORK-0589,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
克莱芙王妃.md,WL-WORK-0995,T2,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G3 小说,QH2.5 童年与成长 | QT7 历史叙事,◆,existing,existing,existing,existing,existing,existing
克里希纳普尔围城.md,WL-WORK-3039,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
克里斯丁·拉夫朗斯达特.md,WL-WORK-3217,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QH1 自我、存在与生命,◆,existing,existing,existing,existing,t_default,existing
克里斯汀.md,WL-WORK-0590,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
克里斯汀·拉夫兰斯女.md,WL-WORK-0996,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QT7 历史叙事,△,existing,existing,existing,existing,existing,existing
兔子富了.md,WL-WORK-3002,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
兔子歇了.md,WL-WORK-3008,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
全系统红.md,WL-WORK-0419,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
全部成为F.md,WL-WORK-0188,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
八墓村.md,WL-WORK-0154,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
公主与哥布林.md,WL-WORK-0592,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
公民文斯.md,WL-WORK-3132,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
公羊的节日.md,WL-WORK-0997,T6,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QT7 历史叙事,△,existing,existing,existing,existing,existing,existing
六个寻找作者的剧中人.md,WL-WORK-1592,T4,T4 全球现代主义时代,R4 欧洲文学,M3.1 现代主义 / Modernism,G2 戏剧,QH1 自我、存在与生命,△,existing,existing,existing,existing,t_default,existing
兰克玛之剑.md,WL-WORK-0593,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
兰斯洛特.md,WL-WORK-1412,T1,T1 中古多中心文学世界,R4 欧洲文学,,G3 小说,QT9 神话、传说与民间叙事,△,existing,existing,not_applicable_pre_modern,existing,existing,existing
兰斯洛特：大车骑士.md,WL-WORK-2022,T1,T1 中古多中心文学世界,R4 欧洲文学,,G3 小说,QH2.1 爱情与欲望,△,existing,existing,not_applicable_pre_modern,existing,existing,existing
关于女儿.md,WL-WORK-2690,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH2.3 家庭与家族 | QH3.1 性别与身体,△,existing,existing,existing,existing,existing,existing
关原.md,WL-WORK-2455,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.3 日本武士与剑豪,△,existing,existing,existing,existing,existing,existing
其主之声.md,WL-WORK-0334,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
内塔尼亚胡一家.md,WL-WORK-3029,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
再见，冥王星.md,WL-WORK-2760,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望 | QH2.3 家庭与家族 | QH2.5 童年与成长,△,existing,existing,existing,existing,existing,existing
再见，吾爱.md,WL-WORK-0076,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
再见，哥伦布.md,WL-WORK-1594,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,topic_direct,existing
写在身体上.md,WL-WORK-2023,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,△,existing,existing,existing,existing,existing,existing
冬天里的春天.md,WL-WORK-2859,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
冬王.md,WL-WORK-0594,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
冰是睡着的水.md,WL-WORK-2770,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,existing,existing
冰菓.md,WL-WORK-0199,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
冰雨的风暴.md,WL-WORK-0595,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
冰雪女王.md,WL-WORK-0596,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
冲击波骑士.md,WL-WORK-0998,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT6 乌托邦、反乌托邦与社会想象,△,existing,existing,existing,existing,existing,existing
冷肉.md,WL-WORK-1596,T5,T5 二战后多极文学,R3 南亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,◆,existing,existing,existing,existing,topic_direct,existing
凉生我们可不可以不忧伤.md,WL-WORK-2748,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望 | QH2.3 家庭与家族 | QH2.5 童年与成长,△,existing,existing,existing,existing,existing,existing
凡人修仙传.md,WL-WORK-0597,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻 | QT8 英雄、边疆与法外者文化传统 | QT8.1 武侠,△,existing,existing,existing,existing,existing,existing
凤凰剑.md,WL-WORK-0598,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
凯恩舰哗变.md,WL-WORK-2025,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,existing,existing
凯瑟琳·安·波特短篇小说集.md,WL-WORK-2992,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
凯雷特史诗.md,WL-WORK-1413,T0,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,G3 小说,QT9 神话、传说与民间叙事,△,existing,existing,not_applicable_pre_modern,existing,existing,existing
凶人邸谜案.md,WL-WORK-0207,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
出埃及记.md,WL-WORK-1414,T0,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,G3 小说,QT9 神话、传说与民间叙事,◆,existing,existing,not_applicable_pre_modern,existing,existing,existing
出租.md,WL-WORK-1000,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QH2.3 家庭与家族,△,existing,existing,existing,existing,existing,existing
击剑大师.md,WL-WORK-2458,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.4 欧洲剑客,△,existing,existing,existing,existing,existing,existing
刀锋本身.md,WL-WORK-0600,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
分家.md,WL-WORK-1002,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QH2.3 家庭与家族,△,existing,existing,existing,existing,existing,existing
分裂的天空.md,WL-WORK-1597,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,topic_direct,existing
切尔诺贝利的悲鸣.md,WL-WORK-2026,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G6 纪实与文学非虚构,QH6 战争、暴力与创伤 | QH7 历史、记忆与时间,△,existing,existing,existing,existing,existing,existing
列王的纷争.md,WL-WORK-0601,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
列王纪.md,WL-WORK-1416,T1,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,G1 诗歌,QT9 神话、传说与民间叙事 | QH6 战争、暴力与创伤,★,existing,existing,not_applicable_pre_modern,existing,existing,existing
列车正点到达.md,WL-WORK-1598,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,topic_direct,existing
创世记.md,WL-WORK-1004,T0,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,G3 小说,QH2.3 家庭与家族 | QT9 神话、传说与民间叙事,★,existing,existing,not_applicable_pre_modern,existing,existing,existing
创业史.md,WL-WORK-1599,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,topic_direct,existing
利器.md,WL-WORK-0130,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
利维坦觉醒.md,WL-WORK-0410,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
别名格蕾丝.md,WL-WORK-1005,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT7 历史叙事,△,existing,existing,existing,existing,existing,existing
别让我走.md,WL-WORK-0431,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT2 科幻 | QH2.5 童年与成长 | QT6 乌托邦、反乌托邦与社会想象,★,existing,existing,existing,existing,existing,existing
到灯塔去.md,WL-WORK-1006,T4,T4 全球现代主义时代,R4 欧洲文学,M3.1 现代主义 / Modernism,G3 小说,QH2.3 家庭与家族 | QH7 历史、记忆与时间,★,existing,existing,existing,existing,existing,existing
刺客学徒.md,WL-WORK-0603,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
刺青杀人事件.md,WL-WORK-0157,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
刽子手之歌.md,WL-WORK-3000,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
前赤壁赋.md,WL-WORK-1418,T1,T1 中古多中心文学世界,R2 东亚文学,,G6 纪实与文学非虚构,QT14 旅行与游记,△,existing,existing,not_applicable_pre_modern,existing,existing,existing
剑与恶魔.md,WL-WORK-0604,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
剑客商卖.md,WL-WORK-2459,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.3 日本武士与剑豪,△,existing,existing,existing,existing,existing,existing
剑气珠光.md,WL-WORK-2460,T4,T4 全球现代主义时代,R2 东亚文学,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.1 武侠,△,existing,existing,existing,existing,existing,existing
剑海鹰扬.md,WL-WORK-2461,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.1 武侠,△,existing,existing,existing,existing,existing,existing
剧毒.md,WL-WORK-0046,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
副本.md,WL-WORK-0396,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT2 科幻 | QT6 乌托邦、反乌托邦与社会想象,△,existing,existing,existing,existing,existing,existing
力量.md,WL-WORK-2950,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
劝导.md,WL-WORK-2027,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QH2.1 爱情与欲望,△,existing,existing,existing,existing,existing,existing
功名十字路.md,WL-WORK-2462,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.3 日本武士与剑豪,△,existing,existing,existing,existing,existing,existing
加勒比女王.md,WL-WORK-2463,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.4 欧洲剑客 | QT8.8 海盗,△,existing,existing,existing,existing,existing,existing
加尔顿案件.md,WL-WORK-0089,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
加布里埃拉.md,WL-WORK-3207,T5,T5 二战后多极文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序,◆,existing,existing,existing,existing,mechanism,existing
加速.md,WL-WORK-0397,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
动物农场.md,WL-WORK-2683,T5,T5 二战后多极文学,R4 欧洲文学,M4 政治、民族与文化运动,G3 小说,QT2 科幻 | QT6 乌托邦、反乌托邦与社会想象 | QH5 权力、制度与秩序,◆,existing,existing,existing,existing,existing,existing
劳儿之劫.md,WL-WORK-1602,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,topic_direct,existing
勒内.md,WL-WORK-M2-62EF7614199C,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮 / 浪漫主义,G3 小说,QH4 社会、阶级与劳动,◆,existing,t_default,existing,t_default,t_default,other_topic
包法利夫人.md,WL-WORK-2028,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮 | M2 19世纪文学思潮 / 现实主义,G3 小说,QH2.1 爱情与欲望 | QH4 社会、阶级与劳动,★,existing,existing,existing,existing,existing,existing
化身博士.md,WL-WORK-0605,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT4 恐怖与哥特,◆,existing,existing,existing,existing,existing,existing
北上.md,WL-WORK-1007,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT7 历史叙事,◆,existing,existing,existing,existing,existing,existing
北京折叠.md,WL-WORK-0466,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT2 科幻 | QT6 乌托邦、反乌托邦与社会想象 | QH4 社会、阶级与劳动,△,existing,existing,existing,existing,existing,existing
北欧众神.md,WL-WORK-0606,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
北迁季节.md,WL-WORK-1603,T5,T5 二战后多极文学,R7 非洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,topic_direct,existing
北风的背后.md,WL-WORK-0607,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
医者之战.md,WL-WORK-2938,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
十二国记：月之影 影之海.md,WL-WORK-0608,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
十八岁出门远行.md,WL-WORK-2783,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH1 自我、存在与生命,△,existing,existing,existing,existing,existing,existing
十字军骑士.md,WL-WORK-2465,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.4 欧洲剑客,△,existing,existing,existing,existing,existing,existing
十字架上的魔鬼.md,WL-WORK-3197,T6,T6 当代全球文学,R7 非洲文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,◆,existing,existing,existing,existing,mechanism,existing
十日谈.md,WL-WORK-2813,T1,T1 中古多中心文学世界,R4 欧洲文学,M1 早期现代思想与美学,G3 小说,QH8 信仰、伦理与超越,◆,existing,existing,existing,existing,mechanism,existing
十月国度.md,WL-WORK-0609,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
十角馆事件.md,WL-WORK-0179,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
千禧年人.md,WL-WORK-1008,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT6 乌托邦、反乌托邦与社会想象,△,existing,existing,existing,existing,existing,existing
千里江山图.md,WL-WORK-2894,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
午夜之子.md,WL-WORK-0611,T6,T6 当代全球文学,R3 南亚文学,M5 战后与当代美学范式 | M5.1 战后思想与美学范式,G3 小说,QT3 奇幻 | QH2.5 童年与成长 | QH2.3 家庭与家族 | QT7 历史叙事 | QH7 历史、记忆与时间,★,existing,existing,existing,existing,existing,existing
午夜凶铃.md,WL-WORK-0612,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
半生缘.md,WL-WORK-2029,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,△,existing,existing,existing,existing,existing,existing
半落.md,WL-WORK-0175,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
半轮黄日.md,WL-WORK-1009,T6,T6 当代全球文学,R7 非洲文学,M5 战后与当代美学范式,G3 小说,QH2.3 家庭与家族 | QT7 历史叙事 | QH6 战争、暴力与创伤 | QH7 历史、记忆与时间,★,existing,existing,existing,existing,existing,existing
