work,id,t,history_position,stage,historical_role,mechanisms,history_source,stage_source,role_source,mechanism_source,needs_reading_calibration
Western Union.md,WL-WORK-2429,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
Willehalm.md,WL-WORK-2430,T1,跨区域传播、印刷与中古晚期转型的拉丁基督教与欧洲俗语文学圈中，以“口传、讲唱与表演”为主要路径的过渡节点（读前预判）,约1250—1500：跨区域传播、印刷与中古晚期转型,过渡,口传、讲唱与表演 | 手稿、书写与区域性印刷,generated_from_generic,existing,stage,existing,yes
Winter and Night.md,WL-WORK-3129,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
X的悲剧.md,WL-WORK-0041,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
"Yolanda, the Black Corsair's Daughter.md",WL-WORK-2433,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
"Yvain, the Knight of the Lion.md",WL-WORK-2435,T1,跨区域传播、印刷与中古晚期转型的拉丁基督教与欧洲俗语文学圈中，以“手稿、书写与区域性印刷”为主要路径的过渡节点（读前预判）,约1250—1500：跨区域传播、印刷与中古晚期转型,过渡,手稿、书写与区域性印刷 | 教育、宫廷与宗教机构,generated_from_generic,existing,stage,existing,yes
Yvain.md,WL-WORK-2434,T1,跨区域传播、印刷与中古晚期转型的拉丁基督教与欧洲俗语文学圈中，以“手稿、书写与区域性印刷”为主要路径的过渡节点（读前预判）,约1250—1500：跨区域传播、印刷与中古晚期转型,过渡,手稿、书写与区域性印刷 | 教育、宫廷与宗教机构,generated_from_generic,existing,stage,existing,yes
Y的悲剧.md,WL-WORK-0042,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
一个世纪儿的忏悔.md,WL-WORK-M2-505265B436A1,T3,市场扩张、现实主义与现代小说成熟，以“职业作者、版权与文学市场”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
一个背叛日本的日本人.md,WL-WORK-0164,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
一个逃亡黑奴的传记.md,WL-WORK-1545,T5,革命激情退潮与后现代成熟，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1975—1980：革命激情退潮与后现代成熟,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
一个陌生女人的来信.md,WL-WORK-2735,T4,高峰现代主义与全球扩展，以“心理、主体与叙事视角”为主要路径的形式突破节点（读前预判）,1918—1930：高峰现代主义与全球扩展,形式突破,心理、主体与叙事视角 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
一个青年艺术家的画像.md,WL-WORK-0961,T4,高峰现代主义与全球扩展，以“心理、主体与叙事视角”为主要路径的形式突破节点（读前预判）,1918—1930：高峰现代主义与全球扩展,形式突破,心理、主体与叙事视角 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
一个风景画家的一生.md,WL-WORK-1546,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
一九八六年.md,WL-WORK-2786,T6,冷战晚期与全球文学重组，以“记忆、创伤与历史重写”为主要路径的反拨节点（读前预判）,1980—1991：冷战晚期与全球文学重组,反拨,记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
一位女士的画像.md,WL-WORK-2003,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的跨区域转译节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,跨区域转译,报刊、连载与大众读者 | 职业作者、版权与文学市场 | 翻译、帝国与跨洋市场,generated_from_generic,existing,mechanism,existing,yes
一剂毒药.md,WL-WORK-3085,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
一千英亩.md,WL-WORK-0962,T6,全球化出版与离散写作扩张，以“迁徙、离散与跨国家庭”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,迁徙、离散与跨国家庭 | 全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
一千零一夜.md,WL-WORK-0558,T1,跨区域传播、印刷与中古晚期转型的阿拉伯语—伊斯兰文学网络中，以“口传、讲唱与表演”为主要路径的过渡节点（读前预判）,约1250—1500：跨区域传播、印刷与中古晚期转型,过渡,口传、讲唱与表演 | 手稿、书写与区域性印刷,generated_from_generic,existing,stage,existing,yes
一句顶一万句.md,WL-WORK-2736,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的反拨节点（读前预判）,1991—2008：全球化出版与离散写作扩张,反拨,记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
一家之死.md,WL-WORK-2986,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
一无所有.md,WL-WORK-0354,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
一桩事先张扬的凶杀案.md,WL-WORK-1547,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的反拨节点（读前预判）,1991—2008：全球化出版与离散写作扩张,反拨,记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
一桩罪案的进展.md,WL-WORK-3089,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
一百个人的十年.md,WL-WORK-2005,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的反拨节点（读前预判）,1991—2008：全球化出版与离散写作扩张,反拨,记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
一粒麦种.md,WL-WORK-0963,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1965—1975：文学爆炸与全球分叉,边缘突破,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
一腿跨过一腿.md,WL-WORK-R1-LEG-OVER-LEG,T3,市场扩张、现实主义与现代小说成熟，以“职业作者、版权与文学市场”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
一间自己的房间.md,WL-WORK-1548,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
七侠五义.md,WL-WORK-2436,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场 | 民族语言、教育与经典建构,generated_from_generic,existing,stage,existing,yes
七剑下天山.md,WL-WORK-2437,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
七回死去的男人.md,WL-WORK-0192,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,记忆、创伤与历史重写 | 类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
七夏娃.md,WL-WORK-0382,T6,全球危机、平台化与类型融合，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,2008—2020：全球危机、平台化与类型融合,形式突破,类型全球化与文类融合 | 数字平台、气候与技术社会 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
七夜雪.md,WL-WORK-2438,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,记忆、创伤与历史重写 | 类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
七月的人民.md,WL-WORK-3200,T6,全球化出版与离散写作扩张，以“迁徙、离散与跨国家庭”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,迁徙、离散与跨国家庭 | 全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
七种武器.md,WL-WORK-2440,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
万叶集.md,WL-WORK-3179,T1,跨区域传播、印刷与中古晚期转型的日本与朝鲜文学网络中，以“口传、讲唱与表演”为主要路径的过渡节点（读前预判）,约1250—1500：跨区域传播、印刷与中古晚期转型,过渡,口传、讲唱与表演 | 手稿、书写与区域性印刷,generated_from_generic,existing,stage,existing,yes
万延元年的足球队.md,WL-WORK-1550,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1965—1975：文学爆炸与全球分叉,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
万有引力之虹.md,WL-WORK-1551,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
三个火枪手.md,WL-WORK-0559,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
三个骗子.md,WL-WORK-0560,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
三体.md,WL-WORK-0462,T6,全球危机、平台化与类型融合，以“记忆、创伤与历史重写”为主要路径的形式突破节点（读前预判）,2008—2020：全球危机、平台化与类型融合,形式突破,记忆、创伤与历史重写 | 类型全球化与文类融合 | 数字平台、气候与技术社会,generated_from_generic,existing,mechanism,existing,yes
三侠五义.md,WL-WORK-2441,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场 | 民族语言、教育与经典建构,generated_from_generic,existing,stage,existing,yes
三匹蟹.md,WL-WORK-1553,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1965—1975：文学爆炸与全球分叉,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
三口棺材.md,WL-WORK-0032,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
三四郎.md,WL-WORK-0964,T4,政治极化、反殖民与战时转型，以“都市、技术与感知革命”为主要路径的边缘突破节点（读前预判）,1930—1945：政治极化、反殖民与战时转型,边缘突破,都市、技术与感知革命 | 帝国、殖民、反殖民与文化翻译 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
三国演义.md,WL-WORK-0965,T2,历史叙事、章回长篇与商业出版前史,1600—1700：宫廷、城市、巴洛克与全球接触,跨区域转译,印刷、书籍市场与读者扩大 | 俗语化、翻译与新读者共同体,existing_specific,existing,existing,existing,no
三国遗事.md,WL-WORK-1391,T1,宫廷、宗教与俗语文学扩展的日本与朝鲜文学网络中，以“朝鲜半岛佛教、神话与历史记忆”为主要路径的经典化节点（读前预判）,约1000—1250：宫廷、宗教与俗语文学扩展,经典化,朝鲜半岛佛教、神话与历史记忆 | 编纂与再经典化 | 汉文书写与本地传统保存,generated_from_generic,existing,mechanism,existing,yes
三尖树时代.md,WL-WORK-0315,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
三生三世十里桃花.md,WL-WORK-2745,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,记忆、创伤与历史重写 | 类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
三种生活.md,WL-WORK-1555,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
三里湾.md,WL-WORK-1556,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1965—1975：文学爆炸与全球分叉,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
三颗心与三头狮.md,WL-WORK-0562,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
上尉的女儿.md,WL-WORK-0966,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
上帝保佑这个傻瓜.md,WL-WORK-3095,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
上帝的木片.md,WL-WORK-2853,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
上海.md,WL-WORK-1557,T4,政治极化、反殖民与战时转型，以“帝国、殖民、反殖民与文化翻译”为主要路径的边缘突破节点（读前预判）,1930—1945：政治极化、反殖民与战时转型,边缘突破,帝国、殖民、反殖民与文化翻译 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
下方基地.md,WL-WORK-2907,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
不休止.md,WL-WORK-0345,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
不会笑的数学家.md,WL-WORK-0189,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,记忆、创伤与历史重写 | 类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
不可接触者.md,WL-WORK-1560,T4,政治极化、反殖民与战时转型，以“帝国、殖民、反殖民与文化翻译”为主要路径的边缘突破节点（读前预判）,1930—1945：政治极化、反殖民与战时转型,边缘突破,帝国、殖民、反殖民与文化翻译 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
不朽者.md,WL-WORK-2901,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
与拉玛相会.md,WL-WORK-0310,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
丑小鸭.md,WL-WORK-0563,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
世事如烟.md,WL-WORK-2790,T6,冷战晚期与全球文学重组，以“身份、性别与代表权”为主要路径的边缘突破节点（读前预判）,1980—1991：冷战晚期与全球文学重组,边缘突破,身份、性别与代表权 | 记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
世俗的圣歌及其他诗篇.md,WL-WORK-M2-A7B5FBA017F2,T3,市场扩张、现实主义与现代小说成熟，以“职业作者、版权与文学市场”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
世界大战.md,WL-WORK-0276,T4,高峰现代主义与全球扩展，以“都市、技术与感知革命”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,都市、技术与感知革命 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
世界尽头的井.md,WL-WORK-0564,T4,世纪末危机与现代主义酝酿，以“小杂志、翻译、流亡与跨国网络”为主要路径的转折节点（读前预判）,1890—1914：世纪末危机与现代主义酝酿,转折,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
世界彼端的森林.md,WL-WORK-0565,T4,世纪末危机与现代主义酝酿，以“小杂志、翻译、流亡与跨国网络”为主要路径的转折节点（读前预判）,1890—1914：世纪末危机与现代主义酝酿,转折,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
世界的词是森林.md,WL-WORK-0355,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
丛林之书.md,WL-WORK-0566,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
东方.md,WL-WORK-2856,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
东方快车谋杀案.md,WL-WORK-0023,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
东藏记.md,WL-WORK-2874,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的反拨节点（读前预判）,1991—2008：全球化出版与离散写作扩张,反拨,记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
两地书.md,WL-WORK-2699,T4,政治极化、反殖民与战时转型，以“帝国、殖民、反殖民与文化翻译”为主要路径的边缘突破节点（读前预判）,1930—1945：政治极化、反殖民与战时转型,边缘突破,帝国、殖民、反殖民与文化翻译 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
两扇门的房子不好守.md,WL-WORK-2442,T2,宫廷、城市、巴洛克与全球接触，以“印刷、书籍市场与读者扩大”为主要路径的成熟节点（读前预判）,1600—1700：宫廷、城市、巴洛克与全球接触,成熟,印刷、书籍市场与读者扩大 | 城市、宫廷与公共表演,generated_from_generic,existing,stage,existing,yes
严厉的月亮.md,WL-WORK-0303,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
严密监视的列车.md,WL-WORK-1563,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
丧钟为谁而鸣.md,WL-WORK-2006,T4,政治极化、反殖民与战时转型，以“心理、主体与叙事视角”为主要路径的形式突破节点（读前预判）,1930—1945：政治极化、反殖民与战时转型,形式突破,心理、主体与叙事视角 | 世界大战、革命与政治极化 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
个人的体验.md,WL-WORK-1564,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1965—1975：文学爆炸与全球分叉,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
中国神话传说.md,WL-WORK-1394,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
中国神话史.md,WL-WORK-1395,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,记忆、创伤与历史重写 | 类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
中性.md,WL-WORK-0970,T6,全球化出版与离散写作扩张，以“迁徙、离散与跨国家庭”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,迁徙、离散与跨国家庭 | 全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
中转站.md,WL-WORK-0313,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
丰乳肥臀.md,WL-WORK-0971,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的反拨节点（读前预判）,1991—2008：全球化出版与离散写作扩张,反拨,记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
丰饶之海.md,WL-WORK-1565,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1965—1975：文学爆炸与全球分叉,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
临界·爵迹.md,WL-WORK-2749,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,记忆、创伤与历史重写 | 类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
丹尼尔·德隆达.md,WL-WORK-0972,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
为母之道.md,WL-WORK-3198,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
主角.md,WL-WORK-2889,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的反拨节点（读前预判）,1991—2008：全球化出版与离散写作扩张,反拨,记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
丽姬娅.md,WL-WORK-0569,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的跨区域转译节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,跨区域转译,报刊、连载与大众读者 | 职业作者、版权与文学市场 | 翻译、帝国与跨洋市场,generated_from_generic,existing,mechanism,existing,yes
乌多尔弗的秘密.md,WL-WORK-0570,T2,印刷扩张、宗教变革与俗语文学兴起，以“印刷、书籍市场与读者扩大”为主要路径的转折节点（读前预判）,1500—1600：印刷扩张、宗教变革与俗语文学兴起,转折,印刷、书籍市场与读者扩大 | 宗教改革、教派竞争与文本政治,generated_from_generic,existing,mechanism,existing,yes
乌姆拉奥·贾恩·阿达.md,WL-WORK-3178,T4,政治极化、反殖民与战时转型，以“帝国、殖民、反殖民与文化翻译”为主要路径的边缘突破节点（读前预判）,1930—1945：政治极化、反殖民与战时转型,边缘突破,帝国、殖民、反殖民与文化翻译 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
