file,code,priority,tradition,tradition_source,stage,role,axis_t,axis_r,axis_m,axis_g,axis_q
公民文斯.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属
公羊的节日.md,R6,△,安第斯文学传统,author_model,T6 当代全球文学 · 后独裁记忆、迁徙与跨国文学重组,区域扩展阅读,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QT7 历史叙事
六个寻找作者的剧中人.md,R4,◆,意大利文学传统,existing,T4 全球现代主义时代 · 战争危机、现代主义与先锋实验,文类形成与区域典范,T4 全球现代主义时代,R4 欧洲文学,M3.1 现代主义 / Modernism,G2 戏剧,QH1 自我、存在与生命
兰克玛之剑.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后反文化、族裔文学与媒介繁荣,文类形成与区域典范,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻
兰斯洛特.md,R4,△,中世纪拉丁基督教与俗语奠基传统,author_model,T1 中古多中心文学世界 · 基督教、宫廷与俗语文学形成,区域扩展阅读,T1 中古多中心文学世界,R4 欧洲文学,,G3 小说,QT9 神话、传说与民间叙事
兰斯洛特：大车骑士.md,R4,△,中世纪拉丁基督教与俗语奠基传统,author_model,T1 中古多中心文学世界 · 基督教、宫廷与俗语文学形成,区域扩展阅读,T1 中古多中心文学世界,R4 欧洲文学,,G3 小说,QH2.1 爱情与欲望
关于女儿.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH2.3 家庭与家族 | QH3.1 性别与身体
关于这个.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 战争危机、现代主义与先锋实验,区域扩展阅读,T4 全球现代主义时代,R4 欧洲文学,M3.2 先锋派,G3 小说,QH1 自我、存在与生命
关原.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战争革命、国家文学与社会重构,区域扩展阅读,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.3 日本武士与剑豪
关系书.md,R6,△,拉丁美洲与加勒比综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 后独裁记忆、迁徙与跨国文学重组,区域扩展阅读,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序
兵法家传书.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.3 日本武士与剑豪
其主之声.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后重建、记忆政治与后现代转型,区域扩展阅读,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT2 科幻
典仪.md,R5,△,北美原住民文学传统,author_model,T5 二战后多极文学 · 战后反文化、族裔文学与媒介繁荣,区域扩展阅读,T5 二战后多极文学,R5 北美文学,M5.2 权力、身份与世界批评,G3 小说,QH3 身份、身体与归属
内在脚手架.md,R6,△,拉丁美洲与加勒比综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · Modernismo、先锋派与本土现代性,区域扩展阅读,T4 全球现代主义时代,R6 拉丁美洲与加勒比,M3.2 先锋派,G3 小说,QH1 自我、存在与生命
内塔尼亚胡一家.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属
内景唐人街.md,R5,◆,亚裔美国文学传统,existing,T6 当代全球文学 · 多元身份、数字媒介与全球传播,文类形成与区域典范,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序
内贾玛.md,R7,★,马格里布—北非多语文学传统,existing,T6 当代全球文学 · 后殖民批判、城市经验与全球离散,殖民回应与民族文学建构,T6 当代全球文学,R7 非洲文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属
再见，冥王星.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望 | QH2.3 家庭与家族 | QH2.5 童年与成长
再见，吾爱.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 现代主义、哈莱姆复兴与类型扩张,区域扩展阅读,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT1 推理与犯罪叙事
再见，哥伦布.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后反文化、族裔文学与媒介繁荣,区域扩展阅读,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
写在身体上.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,区域扩展阅读,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望
军队.md,R6,△,拉丁美洲与加勒比综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 后独裁记忆、迁徙与跨国文学重组,区域扩展阅读,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序
冬天里的春天.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
冬王.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,文类形成与区域典范,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻
冰是睡着的水.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
冰菓.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事
冰雨的风暴.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,源头与经典奠基,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻
冰雪女王.md,R4,△,北欧文学传统,author_model,T3 19世纪现代文学体系 · 浪漫主义、现实主义与民族文学体系,区域扩展阅读,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT3 奇幻
冲击波骑士.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后重建、记忆政治与后现代转型,区域扩展阅读,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT6 乌托邦、反乌托邦与社会想象
决战前后.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.1 武侠
冷山.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT7 历史叙事
冷肉.md,R3,△,波斯语—Hindavi—乌尔都文学传统,author_model,T5 二战后多极文学 · 独立分治、国家文学与离散书写,区域扩展阅读,T5 二战后多极文学,R3 南亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
凉生我们可不可以不忧伤.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望 | QH2.3 家庭与家族 | QH2.5 童年与成长
凡人修仙传.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻 | QT8 英雄、边疆与法外者文化传统 | QT8.1 武侠
凤凰剑.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 现代主义、哈莱姆复兴与类型扩张,文类形成与区域典范,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT3 奇幻
凯恩舰哗变.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后反文化、族裔文学与媒介繁荣,区域扩展阅读,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
凯瑟琳·安·波特短篇小说集.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后反文化、族裔文学与媒介繁荣,文类形成与区域典范,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
凯雷特史诗.md,R1,△,黎凡特—迦南与乌加里特文学传统,existing,T0 文学源头与古代文学 · 古代文字、史诗与经典传统形成,源头与经典奠基,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,G3 小说,QT9 神话、传说与民间叙事
凶人邸谜案.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事
出埃及记.md,R1,△,希伯来—犹太文学传统,existing,T0 文学源头与古代文学 · 古代文字、史诗与经典传统形成,区域扩展阅读,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,G3 小说,QT9 神话、传说与民间叙事
出租.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 战争危机、现代主义与先锋实验,区域扩展阅读,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QH2.3 家庭与家族
击剑大师.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,区域扩展阅读,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.4 欧洲剑客
刀锋本身.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,文类形成与区域典范,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻
分家.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 现代主义、哈莱姆复兴与类型扩张,区域扩展阅读,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QH2.3 家庭与家族
分裂的天空.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后重建、记忆政治与后现代转型,区域扩展阅读,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
切割石头.md,R7,◆,非洲之角—埃塞俄比亚/厄立特里亚/索马里文学传统,existing,T6 当代全球文学 · 后殖民批判、城市经验与全球离散,离散迁徙与跨区域连接,T6 当代全球文学,R7 非洲文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属 | QH5 权力、制度与秩序
切尔诺贝利的悲鸣.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,区域扩展阅读,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G6 纪实与文学非虚构,QH6 战争、暴力与创伤 | QH7 历史、记忆与时间
列王的纷争.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,源头与经典奠基,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻
列王纪.md,R1,△,波斯—伊朗文学传统,existing,T1 中古多中心文学世界 · 宗教经典、帝国网络与翻译传承,源头与经典奠基,T1 中古多中心文学世界,R1 西亚—地中海古老传统,,G1 诗歌,QT9 神话、传说与民间叙事 | QH6 战争、暴力与创伤
列车正点到达.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后重建、记忆政治与后现代转型,区域扩展阅读,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
列那狐传奇.md,R4,◆,中世纪拉丁基督教与俗语奠基传统,existing,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,传统转型与区域扩展,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序
列那狐威廉版.md,R4,◆,低地国家文学传统,existing,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,源头与经典奠基,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序
创世记.md,R1,△,希伯来—犹太文学传统,existing,T0 文学源头与古代文学 · 古代文字、史诗与经典传统形成,区域扩展阅读,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,G3 小说,QH2.3 家庭与家族 | QT9 神话、传说与民间叙事
创业史.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战争革命、国家文学与社会重构,区域扩展阅读,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
利亚姆盖尔.md,R8,★,柬埔寨—老挝文学传统,existing,T6 当代全球文学 · 城市化、跨语写作与东南亚离散,核心经典与传统确立,T6 当代全球文学,R8 东南亚文学,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序
利器.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事
利图马在安第斯山.md,R6,◆,安第斯文学传统,existing,T6 当代全球文学 · 后独裁记忆、迁徙与跨国文学重组,传统转型与区域扩展,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤 | QH5 权力、制度与秩序
利维坦觉醒.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻
别名格蕾丝.md,R5,△,英语加拿大文学传统,author_model,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT7 历史叙事
别让我走.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,文类形成与区域典范,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT2 科幻 | QH2.5 童年与成长 | QT6 乌托邦、反乌托邦与社会想象
到灯塔去.md,R4,△,英国—爱尔兰文学传统,author_model,T4 全球现代主义时代 · 战争危机、现代主义与先锋实验,区域扩展阅读,T4 全球现代主义时代,R4 欧洲文学,M3.1 现代主义 / Modernism,G3 小说,QH2.3 家庭与家族 | QH7 历史、记忆与时间
刺客之夜.md,R6,△,拉丁美洲与加勒比综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 后独裁记忆、迁徙与跨国文学重组,区域扩展阅读,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序
刺客学徒.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,源头与经典奠基,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻
刺青杀人事件.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战争革命、国家文学与社会重构,区域扩展阅读,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事
刽子手之歌.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后反文化、族裔文学与媒介繁荣,区域扩展阅读,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
前赤壁赋.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T1 中古多中心文学世界 · 宗教传播、宫廷文化与区域交流,区域扩展阅读,T1 中古多中心文学世界,R2 东亚文学,,G6 纪实与文学非虚构,QT14 旅行与游记
前进，达达.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 战争危机、现代主义与先锋实验,区域扩展阅读,T4 全球现代主义时代,R4 欧洲文学,M3.2 先锋派,G3 小说,QH5 权力、制度与秩序
剑与恶魔.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后反文化、族裔文学与媒介繁荣,文类形成与区域典范,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻
剑客商卖.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战争革命、国家文学与社会重构,区域扩展阅读,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.3 日本武士与剑豪
剑气珠光.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 殖民现代性、新文学与形式实验,区域扩展阅读,T4 全球现代主义时代,R2 东亚文学,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.1 武侠
剑海鹰扬.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战争革命、国家文学与社会重构,区域扩展阅读,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.1 武侠
剧毒.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 战争危机、现代主义与先锋实验,区域扩展阅读,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QT1 推理与犯罪叙事
副本.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,区域扩展阅读,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT2 科幻 | QT6 乌托邦、反乌托邦与社会想象
力量.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属
劝导.md,R4,△,英国—爱尔兰文学传统,author_model,T3 19世纪现代文学体系 · 浪漫主义、现实主义与民族文学体系,区域扩展阅读,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QH2.1 爱情与欲望
功名十字路.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战争革命、国家文学与社会重构,区域扩展阅读,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.3 日本武士与剑豪
加利卜诗选.md,R3,★,波斯语—Hindavi—乌尔都文学传统,existing,T6 当代全球文学 · 全球南亚、英语写作与地方传统重组,核心经典与传统确立,T6 当代全球文学,R3 南亚文学,M5 战后与当代美学范式,G1 诗歌,QH5 权力、制度与秩序
加勒比女王.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 战争危机、现代主义与先锋实验,区域扩展阅读,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.4 欧洲剑客 | QT8.8 海盗
加尔顿案件.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后反文化、族裔文学与媒介繁荣,区域扩展阅读,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事
加布里埃拉.md,R6,△,拉丁美洲与加勒比综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 革命经验、文学爆炸与独裁回应,区域扩展阅读,T5 二战后多极文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序
加莱市民.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T4 全球现代主义时代 · 战争危机、现代主义与先锋实验,区域扩展阅读,T4 全球现代主义时代,R4 欧洲文学,M3.2 先锋派,G2 戏剧,QH8 信仰、伦理与超越
加速.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,区域扩展阅读,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT2 科幻
动物农场.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后重建、记忆政治与后现代转型,文类形成与区域典范,T5 二战后多极文学,R4 欧洲文学,M4 政治、民族与文化运动,G3 小说,QT2 科幻 | QT6 乌托邦、反乌托邦与社会想象 | QH5 权力、制度与秩序
动物园故事.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后重建、记忆政治与后现代转型,区域扩展阅读,T5 二战后多极文学,R4 欧洲文学,M5.1 战后思想与美学范式,G3 小说,QH1 自我、存在与生命
动物寓言集 ／ Bestiario.md,R6,△,拉丁美洲与加勒比综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 后独裁记忆、迁徙与跨国文学重组,区域扩展阅读,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序
劳儿之劫.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 战后重建、记忆政治与后现代转型,区域扩展阅读,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
勒内.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T3 19世纪现代文学体系 · 浪漫主义、现实主义与民族文学体系,区域扩展阅读,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮 / 浪漫主义 | M2 19世纪文学思潮,G3 小说,QH4 社会、阶级与劳动
包法利夫人.md,R4,★,法语文学传统,existing,T3 19世纪现代文学体系 · 浪漫主义、现实主义与民族文学体系,文类形成与区域典范,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮 | M2 19世纪文学思潮 / 现实主义,G3 小说,QH2.1 爱情与欲望 | QH4 社会、阶级与劳动
化身博士.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T3 19世纪现代文学体系 · 浪漫主义、现实主义与民族文学体系,区域扩展阅读,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT4 恐怖与哥特
北上.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT7 历史叙事
北京折叠.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT2 科幻 | QT6 乌托邦、反乌托邦与社会想象 | QH4 社会、阶级与劳动
北欧众神.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 欧洲一体化、迁徙经验与当代重组,文类形成与区域典范,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻
北迁季节.md,R7,△,非洲文学综合—具体内部传统待读后校准,provisional_region,T5 二战后多极文学 · 独立、去殖民化与国家文学建构,区域扩展阅读,T5 二战后多极文学,R7 非洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤
北风的背后.md,R4,△,欧洲文学综合—具体内部传统待读后校准,provisional_region,T3 19世纪现代文学体系 · 浪漫主义、现实主义与民族文学体系,区域扩展阅读,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT3 奇幻
医者之战.md,R5,△,北美文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 多元身份、数字媒介与全球传播,区域扩展阅读,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属
医院.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT2 科幻
十二国记：月之影 影之海.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻
十二金钱镖.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.1 武侠
十五年.md,R6,△,拉丁美洲与加勒比综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 后独裁记忆、迁徙与跨国文学重组,区域扩展阅读,T6 当代全球文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序
十八岁出门远行.md,R2,△,东亚文学综合—具体内部传统待读后校准,provisional_region,T6 当代全球文学 · 都市经验、媒介转型与跨国传播,区域扩展阅读,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH1 自我、存在与生命
十字军骑士.md,R4,△,中欧文学传统,author_model,T3 19世纪现代文学体系 · 浪漫主义、现实主义与民族文学体系,区域扩展阅读,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.4 欧洲剑客
