file,id,title,title_original,author,author_original,year,axis_t_raw,valid_t,invalid_t,status,suggested_t,special_hint,reason,verification_status,bibliography_status,canon_id
一桩事先张扬的凶杀案.md,WL-WORK-1547,一桩事先张扬的凶杀案,,加西亚·马尔克斯,,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
一桩罪案的进展.md,WL-WORK-3089,一桩罪案的进展,The Progress of a Crime,朱利安·西蒙斯,Julian Symons,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,
一百个人的十年.md,WL-WORK-2005,一百个人的十年,,冯骥才,,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
一粒麦种.md,WL-WORK-0963,一粒麦种,,恩古吉·瓦·提安哥,Ngũgĩ,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,CANON-189
一间自己的房间.md,WL-WORK-1548,一间自己的房间,,弗吉尼亚·伍尔夫,Virginia Woolf,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
七个疯子.md,WL-WORK-1549,七个疯子,,罗伯托·阿尔特,Roberto Arlt,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
七侠五义.md,WL-WORK-2436,七侠五义,,石玉昆,后来又出现,,T3 19世纪现代文学体系,T3,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
七剑下天山.md,WL-WORK-2437,七剑下天山,,梁羽生,,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
七回死去的男人.md,WL-WORK-0192,七回死去的男人,,西泽保彦,,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
七夏娃.md,WL-WORK-0382,七夏娃,,尼尔·斯蒂芬森,Neal Stephenson,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
七夜雪.md,WL-WORK-2438,七夜雪,,沧月,,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
七月的人民.md,WL-WORK-3200,七月的人民,July's People,纳丁·戈迪默,Nadine Gordimer,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,CANON-264
七杀碑.md,WL-WORK-2439,七杀碑,,朱贞木,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
七种武器.md,WL-WORK-2440,七种武器,,古龙,,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
万叶集.md,WL-WORK-3179,万叶集,Man'yōshū,多人,Various,,T1 中古多中心文学世界,T1,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,CANON-234
万延元年的足球队.md,WL-WORK-1550,万延元年的足球队,,大江健三郎,Ōe Kenzaburō,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
万有引力之虹.md,WL-WORK-1551,万有引力之虹,,托马斯·品钦,Thomas Pynchon,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
万火归一.md,WL-WORK-1552,万火归一,,胡利奥·科塔萨尔,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
三个火枪手.md,WL-WORK-0559,三个火枪手,,大仲马,Dumas,,T3 19世纪现代文学体系,T3,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,CANON-108
三个骗子.md,WL-WORK-0560,三个骗子,,阿瑟·马克恩,Arthur Machen,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
三之书.md,WL-WORK-0561,三之书,,劳埃德·亚历山大,Lloyd Alexander,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
三体.md,WL-WORK-0462,三体,,刘慈欣,,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
三侠五义.md,WL-WORK-2441,三侠五义,,石玉昆,,,T3 19世纪现代文学体系,T3,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
三匹蟹.md,WL-WORK-1553,三匹蟹,,大庭美奈子,Ōba Minako,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
三十九级台阶.md,WL-WORK-0251,三十九级台阶,,约翰·巴肯,John Buchan,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,,
三口棺材.md,WL-WORK-0032,三口棺材,,约翰·狄克森·卡尔,,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
三只忧伤的老虎.md,WL-WORK-1554,三只忧伤的老虎,,吉列尔莫·卡夫雷拉·因凡特,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
三四郎.md,WL-WORK-0964,三四郎,,夏目漱石,,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
三国演义.md,WL-WORK-0965,三国演义,,罗贯中,,,T2 早期现代文学,T2,,HAS_T,,,已有有效 T0–T6 坐标,手工核验,metadata_pending,CANON-030
三国遗事.md,WL-WORK-1391,三国遗事,,一然,,,T1 中古多中心文学世界,T1,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
三尖树时代.md,WL-WORK-0315,三尖树时代,,约翰·温德姆,John Wyndham,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
三生三世十里桃花.md,WL-WORK-2745,三生三世十里桃花,,唐七公子,,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,个人补录,metadata_pending,
三种生活.md,WL-WORK-1555,三种生活,,格特鲁德·斯坦因,Gertrude Stein,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
三里湾.md,WL-WORK-1556,三里湾,,赵树理,,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
三颗心与三头狮.md,WL-WORK-0562,三颗心与三头狮,,波尔·安德森,Poul Anderson,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
上尉的女儿.md,WL-WORK-0966,上尉的女儿,,普希金,,,T3 19世纪现代文学体系,T3,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
上帝保佑这个傻瓜.md,WL-WORK-3095,上帝保佑这个傻瓜,God Save the Mark,唐纳德·E·韦斯特莱克,Donald E. Westlake,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,
上帝的木片.md,WL-WORK-2853,上帝的木片,God's Bits of Wood,奥斯曼·森贝内,Ousmane Sembène,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,CANON-192
上海.md,WL-WORK-1557,上海,,横光利一,,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
下方基地.md,WL-WORK-2907,下方基地,Downbelow Station,C.J.切瑞,C. J. Cherryh,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,
下面的人们.md,WL-WORK-1558,下面的人们,,马里亚诺·阿苏埃拉,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
下颚骨.md,WL-WORK-1559,下颚骨,,莫妮卡·奥赫达,Mónica Ojeda,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
不休止.md,WL-WORK-0345,不休止,Non-Stop,布莱恩·奥尔迪斯,Brian Aldiss,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
不会笑的数学家.md,WL-WORK-0189,不会笑的数学家,,森博嗣,,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
不再存在的女人.md,WL-WORK-0230,不再存在的女人,Celle qui n'était plus,布瓦洛-纳尔瑟雅克,Boileau-Narcejac,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,,
不列颠诸王史.md,WL-WORK-1392,不列颠诸王史,,蒙茅斯的杰弗里,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
不可接触者.md,WL-WORK-1560,不可接触者,,穆尔克·拉吉·安纳德,Mulk Raj Anand,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
不朽者.md,WL-WORK-2901,不朽者,This Immortal,罗杰·泽拉兹尼,Roger Zelazny,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,
不要回头.md,WL-WORK-0224,不要回头,Don't Look Back,卡琳·福萨姆,Karin Fossum,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,,
与拉玛相会.md,WL-WORK-0310,与拉玛相会,,阿瑟·克拉克,,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
丑人.md,WL-WORK-0967,丑人,,斯科特·韦斯特菲尔德,Scott Westerfeld,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
丑小鸭.md,WL-WORK-0563,丑小鸭,,安徒生,Hans Christian Andersen,,T3 19世纪现代文学体系,T3,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
世事如烟.md,WL-WORK-2790,世事如烟,,余华,,1988,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,个人补录,metadata_pending,
世界大战.md,WL-WORK-0276,世界大战,,H.G.威尔斯,,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
世界尽头的井.md,WL-WORK-0564,世界尽头的井,The Well at the World's End,威廉·莫里斯,William Morris,1896,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,人工核验,verified,
世界尽头的征兆.md,WL-WORK-1561,世界尽头的征兆,,墨西哥与美墨边境,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
世界尽头的自杀者.md,WL-WORK-1562,世界尽头的自杀者,,莱拉·格雷罗,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
世界彼端的森林.md,WL-WORK-0565,世界彼端的森林,The Wood Beyond the World,威廉·莫里斯,William Morris,1894,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,人工核验,verified,
世界的用法.md,WL-WORK-1393,世界的用法,The Way of the World,尼古拉·布维耶,Nicolas Bouvier,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
世界的词是森林.md,WL-WORK-0355,世界的词是森林,,厄休拉·勒古恩,Ursula K. Le Guin,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
丛林之书.md,WL-WORK-0566,丛林之书,,吉卜林,Rudyard Kipling,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
丛林故事.md,WL-WORK-0567,丛林故事,,奥拉西奥·基罗加,Horacio Quiroga,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
东周列国志.md,WL-WORK-0968,东周列国志,,冯梦龙,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
东方.md,WL-WORK-2856,东方,,魏巍,,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,
东方快车谋杀案.md,WL-WORK-0023,东方快车谋杀案,,阿加莎·克里斯蒂,,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
东藏记.md,WL-WORK-2874,东藏记,,宗璞,,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,
两地书.md,WL-WORK-2699,两地书,,鲁迅,,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,个人补录,metadata_pending,
两扇门的房子不好守.md,WL-WORK-2442,两扇门的房子不好守,"Casa con dos puertas, mala es de guardar",卡尔德隆,Pedro Calderón de la Barca,,T2 早期现代文学,T2,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
严厉的月亮.md,WL-WORK-0303,严厉的月亮,,罗伯特·海因莱因,,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
严密监视的列车.md,WL-WORK-1563,严密监视的列车,,博胡米尔·赫拉巴尔,Bohumil Hrabal,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
丧钟为谁而鸣.md,WL-WORK-2006,丧钟为谁而鸣,,海明威,Hemingway,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
个人的体验.md,WL-WORK-1564,个人的体验,,大江健三郎,Ōe Kenzaburō,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
中国梦.md,WL-WORK-0969,中国梦,,马建,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
中国神话传说.md,WL-WORK-1394,中国神话传说,,袁珂,,,T5 二战后多极文学,T5,,HAS_T,,title_aggregate_or_tradition,已有有效 T0–T6 坐标,自动通过,metadata_pending,
中国神话史.md,WL-WORK-1395,中国神话史,,袁珂,,,T6 当代全球文学,T6,,HAS_T,,title_aggregate_or_tradition,已有有效 T0–T6 坐标,自动通过,metadata_pending,
中性.md,WL-WORK-0970,中性,,杰弗里·尤金尼德斯,Jeffrey Eugenides,2002,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
中转站.md,WL-WORK-0313,中转站,,克利福德·西马克,Simak,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
丰乳肥臀.md,WL-WORK-0971,丰乳肥臀,,莫言,,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
丰饶之海.md,WL-WORK-1565,丰饶之海,,三岛由纪夫,属于,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
临界·爵迹.md,WL-WORK-2749,临界·爵迹,,郭敬明,,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,个人补录,metadata_pending,
丹尼尔·德隆达.md,WL-WORK-0972,丹尼尔·德隆达,,乔治·艾略特,George Eliot,,T3 19世纪现代文学体系,T3,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
丹麦人的事迹.md,WL-WORK-1396,丹麦人的事迹,,萨克索·格拉玛提库斯,Saxo Grammaticus,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
为了赖子.md,WL-WORK-0186,为了赖子,,法月纶太郎,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,,
为兰卡斯击鼓.md,WL-WORK-1566,为兰卡斯击鼓,,曼努埃尔·斯科尔萨,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
为母之道.md,WL-WORK-3198,为母之道,The Joys of Motherhood,布奇·埃梅切塔,Buchi Emecheta,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,CANON-260
为美好的世界献上祝福！.md,WL-WORK-0568,为美好的世界献上祝福！,,晓佳奈,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
主角.md,WL-WORK-2889,主角,,陈彦,,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,
丽姬娅.md,WL-WORK-0569,丽姬娅,,爱伦·坡,Edgar Allan Poe,,T3 19世纪现代文学体系,T3,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
义经记.md,WL-WORK-2443,义经记,Gikeiki,佚名,,,,,,MISSING_T_REVIEW_NO_YEAR,,anonymous_or_oral,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
乌多尔弗的秘密.md,WL-WORK-0570,乌多尔弗的秘密,,安·拉德克利夫,Ann Radcliffe,,T2 早期现代文学,T2,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
乌姆拉奥·贾恩·阿达.md,WL-WORK-3178,乌姆拉奥·贾恩·阿达,Umrao Jaan Ada,米尔扎·哈迪·鲁斯瓦,Mirza Hadi Ruswa,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,CANON-232
乌托邦.md,WL-WORK-0257,乌托邦,,托马斯·莫尔,,,T2 早期现代文学,T2,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
乌有乡消息.md,WL-WORK-0266,乌有乡消息,,威廉·莫里斯,,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
乌洛波洛斯之虫.md,WL-WORK-0571,乌洛波洛斯之虫,,E.R.埃迪森,E.R. Eddison,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
乌贼骨.md,WL-WORK-1567,乌贼骨,,埃乌杰尼奥·蒙塔莱,Eugenio Montale,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
乌鸦之黑.md,WL-WORK-0116,乌鸦之黑,Raven Black,安·克里夫斯,Ann Cleeves,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,,
乐观者的女儿.md,WL-WORK-2996,乐观者的女儿,The Optimist's Daughter,尤多拉·韦尔蒂,Eudora Welty,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,
乔瓦尼的房间.md,WL-WORK-1568,乔瓦尼的房间,,詹姆斯·鲍德温,James Baldwin,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
乔纳森·斯特兰奇与诺雷尔先生.md,WL-WORK-0572,乔纳森·斯特兰奇与诺雷尔先生,,苏珊娜·克拉克,Susanna Clarke,2004,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
九三年.md,WL-WORK-0973,九三年,,维克多·雨果,Victor Hugo,,T3 19世纪现代文学体系,T3,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
九云梦.md,WL-WORK-2820,九云梦,The Cloud Dream of the Nine,金万重,Kim Man-jung,,T2 早期现代文学,T2,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,CANON-060
九命幻术师.md,WL-WORK-0573,九命幻术师,,戴安娜·韦恩·琼斯,Diana Wynne Jones,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
九尾怪猫.md,WL-WORK-0044,九尾怪猫,,埃勒里·奎因,,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
九州·缥缈录.md,WL-WORK-0574,九州·缥缈录,,江南,,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
九曲丧钟.md,WL-WORK-0048,九曲丧钟,,多萝西·L·塞耶斯,,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
九狐霸图.md,WL-WORK-0413,九狐霸图,,尹河利,Yoon Ha Lee,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
书剑恩仇录.md,WL-WORK-2444,书剑恩仇录,,金庸,,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
书库.md,WL-WORK-1397,书库,,阿波罗多洛斯,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
乾隆皇帝.md,WL-WORK-0974,乾隆皇帝,,二月河,,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
了不起的盖茨比.md,WL-WORK-1569,了不起的盖茨比,,F.斯科特·菲茨杰拉德,F. 斯科特·菲茨杰拉德,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,CANON-164
事先准备.md,WL-WORK-0052,事先准备,Before the Fact,安东尼·伯克利,Anthony Berkeley / Francis Iles,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
二十年后.md,WL-WORK-0975,二十年后,,大仲马,,,T3 19世纪现代文学体系,T3,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
二十首情诗和一支绝望的歌.md,WL-WORK-1570,二十首情诗和一支绝望的歌,,巴勃罗·聂鲁达,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
二手时间.md,WL-WORK-2007,二手时间,,阿列克谢耶维奇,,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
二月.md,WL-WORK-2684,二月,,柔石,,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,个人补录,metadata_pending,
二钱铜币.md,WL-WORK-0146,二钱铜币,,江户川乱步,,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
云使.md,WL-WORK-3176,云使,Meghadūta,迦梨陀娑,Kalidasa,,T0 文学源头与古代文学,T0,,HAS_T,,,已有有效 T0–T6 坐标,手工核验,metadata_pending,CANON-227
云图.md,WL-WORK-0433,云图,,大卫·米切尔,David Mitchell,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
云海玉弓缘.md,WL-WORK-2445,云海玉弓缘,,梁羽生,,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
云街.md,WL-WORK-3211,云街,Cloudstreet,蒂姆·温顿,Tim Winton,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,CANON-289
云雀之歌.md,WL-WORK-2446,云雀之歌,The Song of the Lark,薇拉·凯瑟,Willa Cather,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
五个十二月.md,WL-WORK-3148,五个十二月,Five Decembers,詹姆斯·凯斯特尔,James Kestrel,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,
五个孩子和沙精.md,WL-WORK-0575,五个孩子和沙精,,E.内斯比特,E. Nesbit,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
五只小猪.md,WL-WORK-0027,五只小猪,,阿加莎·克里斯蒂,,,T4 全球现代主义时代,T4,,HAS_T,,,已有有效 T0–T6 坐标,需复核,,
五号屠场.md,WL-WORK-0351,五号屠场,,库尔特·冯内古特,Kurt Vonnegut,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,CANON-173
五轮书.md,WL-WORK-2447,五轮书,Gorin no Sho,宫本武藏,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
亚当，你到过哪里？.md,WL-WORK-2008,亚当，你到过哪里？,,海因里希·伯尔,Heinrich Böll,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
亚瑟·戈登·皮姆历险记.md,WL-WORK-0576,亚瑟·戈登·皮姆历险记,,爱伦·坡,Poe,,T3 19世纪现代文学体系,T3,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
亚瑟王之死.md,WL-WORK-0577,亚瑟王之死,,托马斯·马洛礼,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
亚瓦尔节.md,WL-WORK-1571,亚瓦尔节,,何塞·玛丽亚·阿格达斯,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
亲缘.md,WL-WORK-0360,亲缘,,奥克塔维娅·巴特勒,Octavia E. Butler,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
人世间.md,WL-WORK-2887,人世间,,梁晓声,,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,
人世间（普拉姆迪亚）.md,WL-WORK-3172,人世间,Bumi Manusia,普拉姆迪亚·阿南达·杜尔,Pramoedya Ananta Toer,,T6 当代全球文学,T6,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,CANON-223
人加.md,WL-WORK-2933,人加,Man Plus,弗雷德里克·波尔,Frederik Pohl,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,需复核,metadata_pending,
人口1280.md,WL-WORK-0087,人口1280,,吉姆·汤普森,Jim Thompson,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
人子.md,WL-WORK-1572,人子,,奥古斯托·罗亚·巴斯托斯,罗亚·巴斯托斯,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,metadata_pending,
人工呼吸.md,WL-WORK-1573,人工呼吸,,里卡多·皮格利亚,,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
人性的枷锁.md,WL-WORK-0976,人性的枷锁,,毛姆,Somerset Maugham,,,,,MISSING_T_REVIEW_NO_YEAR,,,缺 T 且缺少可机器读取 year，需要书目/成书史核验,自动通过,metadata_pending,
人性的证明.md,WL-WORK-0166,人性的证明,,森村诚一,,,T5 二战后多极文学,T5,,HAS_T,,,已有有效 T0–T6 坐标,自动通过,,
