work,id,topic,priority,topic_affiliation,genealogy_position,topic_role,role_source
塔杜施先生.md,WL-WORK-R4-塔杜施先生,M2,◆,浪漫主义,革命后浪漫主义形成与扩张 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
塞维利亚理发师.md,WL-WORK-M1-83829513,M1,◆,启蒙主义,启蒙公共领域与理性批判成熟 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
塞莱斯蒂娜.md,WL-WORK-M1-47269789,M1,◆,文艺复兴,文艺复兴展开与世俗主体形成 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
墙（让-保罗·萨特）.md,WL-WORK-M51-9b50e3dd20,M5.1,◆,存在主义,1940—1950年代主体、自由与责任危机 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
壁橱认识论.md,WL-WORK-3255,M5.2,★,酷儿,1980—1990年代后性别/性规范解构 · 核心形成与典范确立,核心典范与形式确立,priority_core
夜总会里的五个人.md,WL-WORK-1644,M3.1,★,日本与中国现代主义,东亚现代性与新文学转型 · 核心形成与典范确立,核心典范与形式确立,priority_core
夜林.md,WL-WORK-1645,M3.1,★,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 核心形成与典范确立,核心典范与形式确立,priority_core
夜颂.md,WL-WORK-M2-FFD645560805,M2,◆,浪漫主义,革命后浪漫主义形成与扩张 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
夜鸟.md,WL-WORK-M4-f5d3eb69,M4,◆,拉丁美洲Boom,1960—1970年代跨国出版与全球文学网络 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
大地上的受苦者.md,WL-WORK-3228,M5.2,★,后殖民,二战后帝国解体与表述政治形成 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
大地上的居所.md,WL-WORK-1646,M3.1,★,拉丁美洲先锋与巴西Modernismo,拉美先锋与本土现代主义形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
大地之女.md,WL-WORK-M4-c5728f90,M4,◆,无产阶级文学,工业资本主义后阶级文学组织化 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
大师与玛格丽特.md,WL-WORK-M51-4b1b8bbe48,M5.1,★,魔幻现实主义,1940年代后现实层级重组与全球扩展 · 核心形成与典范确立,核心典范与形式确立,priority_core
大师和玛格丽特.md,WL-WORK-1647,M3.1,★,俄罗斯与东欧现代主义,革命、帝国解体与东欧现代主义 · 核心形成与典范确立,核心典范与形式确立,priority_core
大教堂爆炸.md,WL-WORK-M4-fefb46d3,M4,★,拉丁美洲Boom,1960—1970年代跨国出版与全球文学网络 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
大瑟尔.md,WL-WORK-M4-da00f078,M4,◆,垮掉的一代,1950年代反文化文学共同体 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
天堂.md,WL-WORK-1051,M4,◆,拉丁美洲Boom,1960—1970年代跨国出版与全球文学网络 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
天真与经验之歌.md,WL-WORK-M2-5D055DDB13AE,M2,★,浪漫主义,革命后浪漫主义形成与扩张 · 核心形成与典范确立,核心典范与形式确立,priority_core
天象馆.md,WL-WORK-M51-dc403b2ea2,M5.1,◆,法国新小说,1950—1970年代再现与人物危机 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
天赋寓言.md,WL-WORK-3272,M5.2,◆,生态文学,环境危机进入文学世界建构与叙事实践 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
太阳照在桑干河上.md,WL-WORK-M4-71a70ad1,M4,★,社会主义现实主义,革命后制度化文学与国家文化政策 · 核心形成与典范确立,核心典范与形式确立,priority_core
太阳照常升起.md,WL-WORK-1648,M3.1,★,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
太阳的胜利.md,WL-WORK-M32-u592a-u9633-u7684-u80dc-u5229,M3.2,★,俄国未来主义,1910年代革命前后的语言与形式激进化 · 核心形成与典范确立,核心典范与形式确立,priority_core
失乐园（弥尔顿）.md,WL-WORK-T2-PARADISE-LOST,M1,★,巴洛克,秩序危机与巴洛克复杂化 · 核心形成与典范确立,核心典范与形式确立,priority_core
奥兰多.md,WL-WORK-3258,M5.2,★,酷儿,1980—1990年代后性别/性规范解构 · 核心形成与典范确立,核心典范与形式确立,priority_core
奥勃洛莫夫.md,WL-WORK-1055,M2,◆,现实主义,19世纪中期现实主义成熟 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
女宾.md,WL-WORK-M51-6f0d7486f4,M5.1,◆,存在主义,1940—1950年代主体、自由与责任危机 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
女性、种族与阶级.md,WL-WORK-3245,M5.2,★,女性主义,20世纪女性解放运动与文学批评制度化 · 核心形成与典范确立,核心典范与形式确立,priority_core
女性主义理论：从边缘到中心.md,WL-WORK-3246,M5.2,★,女性主义,20世纪女性解放运动与文学批评制度化 · 核心形成与典范确立,核心典范与形式确立,priority_core
女性的奥秘.md,WL-WORK-3244,M5.2,◆,女性主义,20世纪女性解放运动与文学批评制度化 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
女战士.md,WL-WORK-3251,M5.2,◆,女性主义,20世纪女性解放运动与文学批评制度化 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
她们眼望上苍.md,WL-WORK-3249,M5.2,★,女性主义,20世纪女性解放运动与文学批评制度化 · 核心形成与典范确立,核心典范与形式确立,priority_core
好兵.md,WL-WORK-1661,M3.1,★,英国—爱尔兰现代主义,英爱高峰现代主义与形式革新 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
姐妹，局外人.md,WL-WORK-3248,M5.2,★,女性主义,20世纪女性解放运动与文学批评制度化 · 核心形成与典范确立,核心典范与形式确立,priority_core
威克菲尔德的牧师.md,WL-WORK-M1-00265350,M1,◆,感伤主义,情感转向与浪漫主义前夜 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
威尼斯之死.md,WL-WORK-1665,M3.1,★,德语—奥地利—中欧现代主义,中欧帝国危机与现代主义形成 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
娜嘉.md,WL-WORK-M32-u5a1c-u5609,M3.2,★,超现实主义,1920年代后无意识、自动书写与革命想象 · 核心形成与典范确立,核心典范与形式确立,priority_core
娜娜.md,WL-WORK-1063,M2,★,自然主义,19世纪后期科学化与社会决定论 · 核心形成与典范确立,核心典范与形式确立,priority_core
婚约.md,WL-WORK-M4-9113a11d,M4,★,民族主义文学,19世纪民族建构与语言文化共同体形成 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
嫉妒.md,WL-WORK-1666,M5.1,★,法国新小说,1950—1970年代再现与人物危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
子夜.md,WL-WORK-2817,M4,★,革命文学,革命动员与集体主体形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
孤独集.md,WL-WORK-M1-95873266,M1,★,巴洛克,秩序危机与巴洛克复杂化 · 核心形成与典范确立,核心典范与形式确立,priority_core
孩子，你别哭.md,WL-WORK-1064,M4,★,反殖民文学运动,二战后去殖民与民族解放文学 · 核心形成与典范确立,核心典范与形式确立,priority_core
宇宙奇趣.md,WL-WORK-M51-4b8d14d312,M5.1,◆,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
安娜·卡列尼娜.md,WL-WORK-1067,M2,★,现实主义,19世纪中期现实主义成熟 · 核心形成与典范确立,核心典范与形式确立,priority_core
安德洛玛刻.md,WL-WORK-M1-11624270,M1,★,古典主义,规则、宫廷与公共规范化 · 核心形成与典范确立,核心典范与形式确立,priority_core
安提皮林先生的第一次天国冒险.md,WL-WORK-M32-u5b89-u63d0-u76ae-u6797-u5148-u751f-u7684-u7b2c-u4e00-u6b21-u5929-u56fd-,M3.2,◆,达达主义,一战时期反艺术与制度否定 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
安魂曲.md,WL-WORK-1670,M3.1,★,俄罗斯与东欧现代主义,革命、帝国解体与东欧现代主义 · 核心形成与典范确立,核心典范与形式确立,priority_core
宠儿.md,WL-WORK-0666,M5.1,★,魔幻现实主义,1940年代后现实层级重组与全球扩展 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
宠儿.md,WL-WORK-0666,M5.2,★,女性主义,20世纪女性解放运动与文学批评制度化 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
审判.md,WL-WORK-1671,M3.1,★,德语—奥地利—中欧现代主义,中欧帝国危机与现代主义形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
宫殿.md,WL-WORK-M51-9619b245ad,M5.1,◆,法国新小说,1950—1970年代再现与人物危机 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
家丁.md,WL-WORK-M4-150b4d1d,M4,◆,反殖民文学运动,二战后去殖民与民族解放文学 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
家庭与世界.md,WL-WORK-1672,M3.1,★,南亚、波斯与阿拉伯现代主义,殖民现代性与多语言文学转型 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
家庭与世界.md,WL-WORK-1672,M4,★,民族主义文学,19世纪民族建构与语言文化共同体形成 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
宿命论者雅克.md,WL-WORK-M1-15544523,M1,★,启蒙主义,启蒙公共领域与理性批判成熟 · 核心形成与典范确立,核心典范与形式确立,priority_core
寂寞芳心小姐.md,WL-WORK-1674,M3.1,◆,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
寂静的春天.md,WL-WORK-3262,M5.2,★,生态批评,20世纪后期环境危机与人类中心主义反思 · 反拨、转型与再阐释,批判反拨与范式转型,mechanism_tag
寒冬夜行人.md,WL-WORK-M51-5207564d3f,M5.1,★,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
寓言诗.md,WL-WORK-M1-33850830,M1,★,古典主义,规则、宫廷与公共规范化 · 核心形成与典范确立,核心典范与形式确立,priority_core
将军底头.md,WL-WORK-1676,M3.1,◆,日本与中国现代主义,东亚现代性与新文学转型 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
小癞子.md,WL-WORK-R4-小癞子,M1,★,文艺复兴,文艺复兴展开与世俗主体形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
小酒店.md,WL-WORK-1076,M2,★,自然主义,19世纪后期科学化与社会决定论 · 核心形成与典范确立,核心典范与形式确立,priority_core
少年维特的烦恼.md,WL-WORK-2055,M1,★,感伤主义,情感转向与浪漫主义前夜 · 核心形成与典范确立,核心典范与形式确立,priority_core
尤利西斯.md,WL-WORK-1678,M3.1,★,英国—爱尔兰现代主义,英爱高峰现代主义与形式革新 · 核心形成与典范确立,核心典范与形式确立,priority_core
局外人.md,WL-WORK-1083,M3.1,◆,法国现代主义,法国都市现代性与文学实验 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
局外人.md,WL-WORK-1083,M5.1,★,存在主义,1940—1950年代主体、自由与责任危机 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
屠场（厄普顿·辛克莱）.md,WL-WORK-M4-47fc135a,M4,★,无产阶级文学,工业资本主义后阶级文学组织化 · 核心形成与典范确立,核心典范与形式确立,priority_core
巨人传.md,WL-WORK-3164,M1,★,人文主义,古典复兴与人文主义奠基 · 核心形成与典范确立,核心典范与形式确立,priority_core
已故的帕斯卡尔.md,WL-WORK-1681,M3.1,◆,伊比利亚与意大利现代主义,南欧现代主义与先锋互动 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
巴西木诗集.md,WL-WORK-M32-u5df4-u897f-u6728-u8bd7-u96c6,M3.2,★,伊比利亚与拉美先锋派,1920—1930年代跨大西洋先锋扩散 · 核心形成与典范确立,核心典范与形式确立,priority_core
巴黎圣母院.md,WL-WORK-1086,M2,★,浪漫主义,革命后浪漫主义形成与扩张 · 核心形成与典范确立,核心典范与形式确立,priority_core
巴黎的农民.md,WL-WORK-M32-u5df4-u9ece-u7684-u519c-u6c11,M3.2,★,超现实主义,1920年代后无意识、自动书写与革命想象 · 核心形成与典范确立,核心典范与形式确立,priority_core
巴黎蜃景.md,WL-WORK-M4-e98212fb,M4,◆,Négritude,1930—1950年代法语黑人国际主义与文化解放 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
帕梅拉.md,WL-WORK-2061,M1,★,感伤主义,情感转向与浪漫主义前夜 · 核心形成与典范确立,核心典范与形式确立,priority_core
帝国反写.md,WL-WORK-3230,M5.2,★,后殖民,二战后帝国解体与表述政治形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
年轻的命运女神.md,WL-WORK-1688,M3.1,◆,法国现代主义,法国都市现代性与文学实验 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
并非没有笑声.md,WL-WORK-M4-bb076d39,M4,◆,哈莱姆文艺复兴,1920年代黑人都市文化复兴 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
幻灭.md,WL-WORK-1093,M2,★,现实主义,19世纪中期现实主义成熟 · 核心形成与典范确立,核心典范与形式确立,priority_core
幽灵之家.md,WL-WORK-1094,M5.1,★,魔幻现实主义,1940年代后现实层级重组与全球扩展 · 核心形成与典范确立,核心典范与形式确立,priority_core
序曲.md,WL-WORK-M2-89D3E895D396,M2,★,浪漫主义,革命后浪漫主义形成与扩张 · 核心形成与典范确立,核心典范与形式确立,priority_core
康尼岛的心灵.md,WL-WORK-M4-0ad581de,M4,★,垮掉的一代,1950年代反文化文学共同体 · 核心形成与典范确立,核心典范与形式确立,priority_core
廷臣论.md,WL-WORK-M1-28776668,M1,◆,人文主义,古典复兴与人文主义奠基 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
弗兰德公路.md,WL-WORK-1692,M5.1,★,法国新小说,1950—1970年代再现与人物危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
弗兰肯斯坦.md,WL-WORK-0262,M2,★,浪漫主义,革命后浪漫主义形成与扩张 · 核心形成与典范确立,核心典范与形式确立,priority_core
当代英雄.md,WL-WORK-R4-当代英雄,M2,★,浪漫主义,革命后浪漫主义形成与扩张 · 核心形成与典范确立,核心典范与形式确立,priority_core
彩画集.md,WL-WORK-1694,M2,★,象征主义,世纪末象征主义与现代主义前夜 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
彩画集.md,WL-WORK-1694,M3.1,★,19世纪前史,世纪末现代主义前史与形式酝酿 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
彷徨.md,WL-WORK-1695,M3.1,◆,日本与中国现代主义,东亚现代性与新文学转型 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
彼得堡.md,WL-WORK-1696,M3.1,★,俄罗斯与东欧现代主义,革命、帝国解体与东欧现代主义 · 核心形成与典范确立,核心典范与形式确立,priority_core
微暗的火.md,WL-WORK-2068,M5.1,★,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
微物之神.md,WL-WORK-1103,M5.2,★,后殖民,二战后帝国解体与表述政治形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
德里黄昏.md,WL-WORK-1698,M3.1,◆,南亚、波斯与阿拉伯现代主义,殖民现代性与多语言文学转型 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
忏悔录.md,WL-WORK-M1-33284735,M1,★,感伤主义,情感转向与浪漫主义前夜 · 核心形成与典范确立,核心典范与形式确立,priority_core
快乐之家.md,WL-WORK-3261,M5.2,★,酷儿,1980—1990年代后性别/性规范解构 · 核心形成与典范确立,核心典范与形式确立,priority_core
快乐时光.md,WL-WORK-M51-675a7b43fa,M5.1,◆,荒诞,1950—1960年代语言与行动失效 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
怎样做诗.md,WL-WORK-M32-u600e-u6837-u505a-u8bd7,M3.2,★,构成主义、LEF与事实文学,革命后苏俄艺术生产与事实文学 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
性别麻烦.md,WL-WORK-3253,M5.2,★,酷儿,1980—1990年代后性别/性规范解构 · 核心形成与典范确立,核心典范与形式确立,priority_core
性史第一卷：认知的意志.md,WL-WORK-3252,M5.2,★,酷儿,1980—1990年代后性别/性规范解构 · 核心形成与典范确立,核心典范与形式确立,priority_core
性政治.md,WL-WORK-3243,M5.2,★,女性主义,20世纪女性解放运动与文学批评制度化 · 理论化与范式确立,理论阐释与范式建构,mechanism_tag
恋爱中的女人.md,WL-WORK-1110,M3.1,★,英国—爱尔兰现代主义,英爱高峰现代主义与形式革新 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
恨世者.md,WL-WORK-M1-34034104,M1,★,古典主义,规则、宫廷与公共规范化 · 核心形成与典范确立,核心典范与形式确立,priority_core
恰似水之于巧克力.md,WL-WORK-1111,M5.1,◆,魔幻现实主义,1940年代后现实层级重组与全球扩展 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
恰尔德·哈洛尔德游记.md,WL-WORK-M2-711289AC2296,M2,◆,浪漫主义,革命后浪漫主义形成与扩张 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
恰巴耶夫.md,WL-WORK-M4-a6be5662,M4,★,社会主义现实主义,革命后制度化文学与国家文化政策 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
恶之花.md,WL-WORK-1701,M2,★,象征主义,世纪末象征主义与现代主义前夜 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
恶之花.md,WL-WORK-1701,M3.1,★,19世纪前史,世纪末现代主义前史与形式酝酿 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
恶心.md,WL-WORK-1702,M5.1,★,存在主义,1940—1950年代主体、自由与责任危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
恶魔们.md,WL-WORK-M2-9D4C48CE34C6,M2,◆,颓废主义,世纪末颓废意识与文化危机 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
情感教育.md,WL-WORK-1113,M2,★,现实主义,19世纪中期现实主义成熟 · 核心形成与典范确立,核心典范与形式确立,priority_core
想象力无线电与自由词语.md,WL-WORK-M32-u60f3-u8c61-u529b-u65e0-u7ebf-u7535-u4e0e-u81ea-u7531-u8bcd-u8bed,M3.2,◆,意大利未来主义,1909后第一波先锋宣言与技术崇拜 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
惶然录.md,WL-WORK-1705,M3.1,★,伊比利亚与意大利现代主义,南欧现代主义与先锋互动 · 核心形成与典范确立,核心典范与形式确立,priority_core
意图集.md,WL-WORK-M2-78D9745342E8,M2,◆,唯美主义,世纪末审美自主与艺术至上 · 理论化与范式确立,理论阐释与范式建构,mechanism_tag
意象派诗人集 1915.md,WL-WORK-M32-u610f-u8c61-u6d3e-u8bd7-u4eba-u96c6-1915,M3.2,★,意象主义与漩涡主义,1910年代英语诗歌形式革新 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
意象派诗人集 1916.md,WL-WORK-M32-u610f-u8c61-u6d3e-u8bd7-u4eba-u96c6-1916,M3.2,◆,意象主义与漩涡主义,1910年代英语诗歌形式革新 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
意象派诗选.md,WL-WORK-M32-u610f-u8c61-u6d3e-u8bd7-u9009,M3.2,★,意象主义与漩涡主义,1910年代英语诗歌形式革新 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
愚人颂.md,WL-WORK-M1-40670511,M1,★,人文主义,古典复兴与人文主义奠基 · 反拨、转型与再阐释,批判反拨与范式转型,mechanism_tag
感伤旅行.md,WL-WORK-1462,M1,★,感伤主义,情感转向与浪漫主义前夜 · 核心形成与典范确立,核心典范与形式确立,priority_core
慢暴力与穷人的环境主义.md,WL-WORK-3268,M5.2,★,生态批评,20世纪后期环境危机与人类中心主义反思 · 核心形成与典范确立,核心典范与形式确立,priority_core
戈拉.md,WL-WORK-M4-2c696947,M4,★,民族主义文学,19世纪民族建构与语言文化共同体形成 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
我们.md,WL-WORK-0283,M3.1,★,俄罗斯与东欧现代主义,革命、帝国解体与东欧现代主义 · 核心形成与典范确立,核心典范与形式确立,priority_core
我们从未现代过.md,WL-WORK-3270,M5.2,◆,生态批评,20世纪后期环境危机与人类中心主义反思 · 反拨、转型与再阐释,批判反拨与范式转型,mechanism_tag
我弥留之际.md,WL-WORK-1711,M3.1,★,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 核心形成与典范确立,核心典范与形式确立,priority_core
战争.md,WL-WORK-1714,M3.1,◆,日本与中国现代主义,东亚现代性与新文学转型 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
战争与和平.md,WL-WORK-1118,M2,★,现实主义,19世纪中期现实主义成熟 · 核心形成与典范确立,核心典范与形式确立,priority_core
所罗门之歌.md,WL-WORK-1122,M5.1,★,魔幻现实主义,1940年代后现实层级重组与全球扩展 · 核心形成与典范确立,核心典范与形式确立,priority_core
批评家.md,WL-WORK-M1-05507229,M1,◆,巴洛克,秩序危机与巴洛克复杂化 · 理论化与范式确立,理论阐释与范式建构,mechanism_tag
抒情歌谣集.md,WL-WORK-M2-8235CD5AE924,M2,★,浪漫主义,革命后浪漫主义形成与扩张 · 核心形成与典范确立,核心典范与形式确立,priority_core
押沙龙，押沙龙！.md,WL-WORK-1123,M3.1,★,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 核心形成与典范确立,核心典范与形式确立,priority_core
拉摩的侄儿.md,WL-WORK-M1-22614670,M1,★,启蒙主义,启蒙公共领域与理性批判成熟 · 核心形成与典范确立,核心典范与形式确立,priority_core
拍卖第四十九批.md,WL-WORK-1718,M5.1,★,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
播种者寓言.md,WL-WORK-0362,M5.2,★,生态文学,环境危机进入文学世界建构与叙事实践 · 核心形成与典范确立,核心典范与形式确立,priority_core
文化与帝国主义.md,WL-WORK-3226,M5.2,★,后殖民,二战后帝国解体与表述政治形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
文艺复兴史研究.md,WL-WORK-M2-0E26901E8DC0,M2,★,唯美主义,世纪末审美自主与艺术至上 · 核心形成与典范确立,核心典范与形式确立,priority_core
新儿女英雄传.md,WL-WORK-M4-f4d30c4c,M4,◆,革命文学,革命动员与集体主体形成 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
新爱洛绮丝.md,WL-WORK-M1-72423498,M1,★,感伤主义,情感转向与浪漫主义前夜 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
施疗室里.md,WL-WORK-1724,M3.1,◆,日本与中国现代主义,东亚现代性与新文学转型 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
族长的秋天.md,WL-WORK-1725,M5.1,★,魔幻现实主义,1940年代后现实层级重组与全球扩展 · 核心形成与典范确立,核心典范与形式确立,priority_core
无名的裘德.md,WL-WORK-1135,M2,★,自然主义,19世纪后期科学化与社会决定论 · 核心形成与典范确立,核心典范与形式确立,priority_core
无尽的玩笑.md,WL-WORK-M51-b5ee09cd21,M5.1,★,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
无玷的受孕.md,WL-WORK-M32-u65e0-u73b7-u7684-u53d7-u5b55,M3.2,◆,超现实主义,1920年代后无意识、自动书写与革命想象 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
无自然的生态学.md,WL-WORK-3266,M5.2,★,生态批评,20世纪后期环境危机与人类中心主义反思 · 理论化与范式确立,理论阐释与范式建构,mechanism_tag
无言浪漫曲.md,WL-WORK-M2-EBEE0B19F3AC,M2,★,象征主义,世纪末象征主义与现代主义前夜 · 核心形成与典范确立,核心典范与形式确立,priority_core
日子.md,WL-WORK-1729,M3.1,◆,南亚、波斯与阿拉伯现代主义,殖民现代性与多语言文学转型 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
早安，午夜.md,WL-WORK-1731,M3.1,★,殖民与跨国现代主义,全球现代主义的跨国流动与殖民经验 · 核心形成与典范确立,核心典范与形式确立,priority_core
春蚕.md,WL-WORK-M4-ee52b405,M4,◆,革命文学,革命动员与集体主体形成 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
智者纳坦.md,WL-WORK-M1-32741460,M1,★,启蒙主义,启蒙公共领域与理性批判成熟 · 核心形成与典范确立,核心典范与形式确立,priority_core
暴风雨.md,WL-WORK-2829,M1,★,文艺复兴,文艺复兴展开与世俗主体形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
暴风骤雨.md,WL-WORK-M4-86613dcd,M4,★,社会主义现实主义,革命后制度化文学与国家文化政策 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
曼哈顿中转站.md,WL-WORK-1735,M3.1,★,美国与Harlem Renaissance,美国现代主义与黑人文化复兴 · 核心形成与典范确立,核心典范与形式确立,priority_core
最后的松弛.md,WL-WORK-M32-u6700-u540e-u7684-u677e-u5f1b,M3.2,◆,达达主义,一战时期反艺术与制度否定 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
有感情的人.md,WL-WORK-M1-60037943,M1,◆,感伤主义,情感转向与浪漫主义前夜 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
朝圣.md,WL-WORK-1739,M3.1,◆,英国—爱尔兰现代主义,英爱高峰现代主义与形式革新 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
未来主义宣言.md,WL-WORK-M32-u672a-u6765-u4e3b-u4e49-u5ba3-u8a00,M3.2,★,意大利未来主义,1909后第一波先锋宣言与技术崇拜 · 理论化与范式确立,理论阐释与范式建构,mechanism_tag
未来主义戏剧综合.md,WL-WORK-M32-u672a-u6765-u4e3b-u4e49-u620f-u5267-u7efc-u5408,M3.2,◆,意大利未来主义,1909后第一波先锋宣言与技术崇拜 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
未来主义文学技术宣言.md,WL-WORK-M32-u672a-u6765-u4e3b-u4e49-u6587-u5b66-u6280-u672f-u5ba3-u8a00,M3.2,★,意大利未来主义,1909后第一波先锋宣言与技术崇拜 · 核心形成与典范确立,核心典范与形式确立,priority_core
未来主义者马法尔卡.md,WL-WORK-M32-u672a-u6765-u4e3b-u4e49-u8005-u9a6c-u6cd5-u5c14-u5361,M3.2,◆,意大利未来主义,1909后第一波先锋宣言与技术崇拜 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
朱莉小姐.md,WL-WORK-1741,M2,★,自然主义,19世纪后期科学化与社会决定论 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
朱莉小姐.md,WL-WORK-1741,M3.1,◆,19世纪前史,世纪末现代主义前史与形式酝酿 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
朴素的诗.md,WL-WORK-M2-036D05D7F635,M2,★,拉美 Modernismo,世纪末拉美现代主义前驱 · 核心形成与典范确立,核心典范与形式确立,priority_core
机械.md,WL-WORK-1742,M3.1,★,日本与中国现代主义,东亚现代性与新文学转型 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
杀人者，女人们的希望.md,WL-WORK-M32-u6740-u4eba-u8005-uff0c-u5973-u4eba-u4eec-u7684-u5e0c-u671b,M3.2,★,德语表现主义,一战前后都市、战争与主体危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
权力的殖民性、欧洲中心主义与拉丁美洲.md,WL-WORK-3237,M5.2,★,去殖民,20世纪后期殖民性与知识体系批判 · 核心形成与典范确立,核心典范与形式确立,priority_core
